종목명(코드),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
종목별 (),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자 (005930),"62,200",▼ 400,-0.64%,"5,911,098","367,216","3,682,015"
SK하이닉스 (000660),"299,000","▲ 4,500",+1.53%,"1,610,897","481,303","2,176,727"
삼성바이오로직스 (207940),"1,047,000","▼ 10,000",-0.95%,"24,705","25,812","745,192"
LG에너지솔루션 (373220),"314,500","▼ 7,000",-2.18%,"100,772","31,868","735,930"
KB금융 (105560),"118,550","▲ 1,250",+1.07%,"400,062","47,376","452,223"
현대차 (005380),"214,000","▲ 6,000",+2.88%,"430,069","91,500","438,182"
기아 (000270),"102,300","▲ 1,500",+1.49%,"507,398","51,417","406,819"
셀트리온 (068270),"175,000","▼ 3,600",-2.02%,"157,309","27,719","389,245"
NAVER (035420),"245,000","▼ 8,000",-3.16%,"678,679","168,730","388,171"
두산에너빌리티 (034020),"59,900",▼ 600,-0.99%,"4,148,216","252,679","383,696"
